station_id,station_name,district,address,latitude,longitude,x_meter,y_meter,cluster_id,cluster_label,distance_to_centroid_m,rental_count,meaningful_coordinate_movement,max_distance_m,active_month_count,first_active_month,last_active_month
1120,대림경동아파트앞,강서구,서울특별시 강서구 허준로 121,37.564785,126.85464478,-12124.232407385,1897.4293494829994,0,cluster_0,5591.867981270869,45141,False,0.0017628044830043,24,2023-01,2024-12
1121,가양레포츠센터 앞,강서구,서울특별시 강서구 양천로61길 101,37.55947876,126.86437988,-11265.98154571985,1307.4023819244721,0,cluster_0,4574.859730345055,35644,False,0.0017629322823405,24,2023-01,2024-12
1122,황금내근린공원,강서구,서울특별시 강서구 허준로 221-40,37.56192398,126.86416626,-11284.814382472721,1579.2984404545946,0,cluster_0,4793.282425512647,61402,False,0.0035257466077068,24,2023-01,2024-12
1124,발산역 6번 출구 뒤,강서구,서울특별시 강서구 공항대로 280,37.55817795,126.8384552,-13551.513173378302,1162.7589093962956,0,cluster_0,6252.9048029785845,140170,False,0.0,24,2023-01,2024-12
1125,명덕고교입구(영종빌딩),강서구,서울특별시 강서구 강서로 304,37.55291367,126.83657074,-13717.648027540748,577.3976809600866,0,cluster_0,6116.421611786868,100504,False,0.0035261729671135,22,2023-01,2024-10
1126,우장산역 1번출구옆(우장산아이파크105동앞),강서구,서울특별시 강서구 강서로 지하 262,37.54890823,126.83656311,-13718.320691824994,132.01307398105922,0,cluster_0,5935.00384142038,54411,False,0.000881590057404,24,2023-01,2024-12
1127,화곡역 버스정류장,강서구,서울특별시 강서구 화곡로 157,37.54098129,126.83854675,-13543.442083569233,-749.4224378357129,0,cluster_0,5491.864969292069,46154,False,0.0044084212665453,24,2023-01,2024-12
1128,화곡역 6번출구,강서구,서울특별시 강서구 화곡로 지하 168,37.54141235,126.84022522,-13395.46740187317,-701.490752755671,0,cluster_0,5360.990801684181,45884,False,0.0017633574143447,23,2023-01,2024-11
1129,화곡역 1번 출구 앞,강서구,서울특별시 강서구 화곡로 지하 168,37.542099,126.84021759,-13396.140066157415,-625.1387563750327,0,cluster_0,5382.174051247691,51135,False,0.0008816705871574,24,2023-01,2024-12
113,홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.5574379,126.9238205,-6025.669342152617,1080.4691039324184,0,cluster_0,3871.9100039726827,132629,False,0.0,24,2023-01,2024-12
