datetime,cluster_id,cluster_label,rental_count,year_month
2023-01-02 08:00:00,2,cluster_2,1555,2023-01
2023-01-02 09:00:00,0,cluster_0,1286,2023-01
2023-01-02 09:00:00,1,cluster_1,653,2023-01
2023-01-02 09:00:00,2,cluster_2,833,2023-01
2023-01-02 10:00:00,0,cluster_0,832,2023-01
2023-01-02 10:00:00,1,cluster_1,479,2023-01
2023-01-02 10:00:00,2,cluster_2,448,2023-01
2023-01-02 11:00:00,0,cluster_0,965,2023-01
2023-01-02 11:00:00,1,cluster_1,553,2023-01
2023-01-02 11:00:00,2,cluster_2,542,2023-01
2023-01-02 12:00:00,0,cluster_0,1110,2023-01
2023-01-02 12:00:00,1,cluster_1,708,2023-01
2023-01-02 12:00:00,2,cluster_2,574,2023-01
2023-01-02 13:00:00,0,cluster_0,1152,2023-01
2023-01-02 13:00:00,1,cluster_1,652,2023-01
2023-01-02 13:00:00,2,cluster_2,574,2023-01
2023-01-02 14:00:00,0,cluster_0,1091,2023-01
2023-01-02 14:00:00,1,cluster_1,707,2023-01
2023-01-02 14:00:00,2,cluster_2,628,2023-01
2023-01-02 15:00:00,0,cluster_0,1169,2023-01
2023-01-02 15:00:00,1,cluster_1,712,2023-01
2023-01-02 15:00:00,2,cluster_2,723,2023-01
2023-01-02 16:00:00,0,cluster_0,1477,2023-01
2023-01-02 16:00:00,1,cluster_1,831,2023-01
2023-01-02 16:00:00,2,cluster_2,791,2023-01
2023-01-02 17:00:00,0,cluster_0,2345,2023-01
2023-01-02 17:00:00,1,cluster_1,1068,2023-01
2023-01-02 17:00:00,2,cluster_2,1176,2023-01
2023-01-02 18:00:00,0,cluster_0,3411,2023-01
2023-01-02 18:00:00,1,cluster_1,1328,2023-01
2023-01-02 18:00:00,2,cluster_2,1720,2023-01
2023-01-02 19:00:00,0,cluster_0,1932,2023-01
2023-01-02 19:00:00,1,cluster_1,876,2023-01
2023-01-02 19:00:00,2,cluster_2,1073,2023-01
2023-01-02 20:00:00,0,cluster_0,1461,2023-01
2023-01-02 20:00:00,1,cluster_1,714,2023-01
2023-01-02 20:00:00,2,cluster_2,811,2023-01
2023-01-02 21:00:00,0,cluster_0,1190,2023-01
2023-01-02 21:00:00,1,cluster_1,603,2023-01
2023-01-02 21:00:00,2,cluster_2,643,2023-01
2023-01-02 22:00:00,0,cluster_0,955,2023-01
2023-01-02 22:00:00,1,cluster_1,486,2023-01
2023-01-02 22:00:00,2,cluster_2,543,2023-01
2023-01-02 23:00:00,0,cluster_0,594,2023-01
2023-01-02 23:00:00,1,cluster_1,387,2023-01
2023-01-02 23:00:00,2,cluster_2,351,2023-01
2023-01-03 00:00:00,0,cluster_0,407,2023-01
2023-01-03 00:00:00,1,cluster_1,290,2023-01
2023-01-03 00:00:00,2,cluster_2,261,2023-01
2023-01-03 01:00:00,0,cluster_0,313,2023-01
2023-01-03 01:00:00,1,cluster_1,243,2023-01
2023-01-03 01:00:00,2,cluster_2,220,2023-01
2023-01-03 02:00:00,0,cluster_0,205,2023-01
2023-01-03 02:00:00,1,cluster_1,180,2023-01
2023-01-03 02:00:00,2,cluster_2,115,2023-01
2023-01-03 03:00:00,0,cluster_0,144,2023-01
2023-01-03 03:00:00,1,cluster_1,122,2023-01
2023-01-03 03:00:00,2,cluster_2,79,2023-01
2023-01-03 04:00:00,0,cluster_0,129,2023-01
2023-01-03 04:00:00,1,cluster_1,94,2023-01
2023-01-03 04:00:00,2,cluster_2,72,2023-01
2023-01-03 05:00:00,0,cluster_0,360,2023-01
2023-01-03 05:00:00,1,cluster_1,172,2023-01
2023-01-03 05:00:00,2,cluster_2,188,2023-01
2023-01-03 06:00:00,0,cluster_0,753,2023-01
2023-01-03 06:00:00,1,cluster_1,342,2023-01
2023-01-03 06:00:00,2,cluster_2,374,2023-01
2023-01-03 07:00:00,0,cluster_0,1807,2023-01
2023-01-03 07:00:00,1,cluster_1,642,2023-01
2023-01-03 07:00:00,2,cluster_2,775,2023-01
2023-01-03 08:00:00,0,cluster_0,3532,2023-01
2023-01-03 08:00:00,1,cluster_1,1201,2023-01
2023-01-03 08:00:00,2,cluster_2,1640,2023-01
2023-01-03 09:00:00,0,cluster_0,1518,2023-01
2023-01-03 09:00:00,1,cluster_1,666,2023-01
2023-01-03 09:00:00,2,cluster_2,928,2023-01
2023-01-03 10:00:00,0,cluster_0,940,2023-01
2023-01-03 10:00:00,1,cluster_1,584,2023-01
2023-01-03 10:00:00,2,cluster_2,519,2023-01
2023-01-03 11:00:00,0,cluster_0,1045,2023-01
2023-01-03 11:00:00,1,cluster_1,668,2023-01
2023-01-03 11:00:00,2,cluster_2,544,2023-01
2023-01-03 12:00:00,0,cluster_0,1193,2023-01
2023-01-03 12:00:00,1,cluster_1,713,2023-01
2023-01-03 12:00:00,2,cluster_2,698,2023-01
2023-01-03 13:00:00,0,cluster_0,1183,2023-01
2023-01-03 13:00:00,1,cluster_1,732,2023-01
2023-01-03 13:00:00,2,cluster_2,645,2023-01
2023-01-03 14:00:00,0,cluster_0,1185,2023-01
2023-01-03 14:00:00,1,cluster_1,731,2023-01
2023-01-03 14:00:00,2,cluster_2,663,2023-01
2023-01-03 15:00:00,0,cluster_0,1229,2023-01
2023-01-03 15:00:00,1,cluster_1,780,2023-01
2023-01-03 15:00:00,2,cluster_2,695,2023-01
2023-01-03 16:00:00,0,cluster_0,1600,2023-01
2023-01-03 16:00:00,1,cluster_1,864,2023-01
2023-01-03 16:00:00,2,cluster_2,875,2023-01
2023-01-03 17:00:00,0,cluster_0,2437,2023-01
2023-01-03 17:00:00,1,cluster_1,1158,2023-01
2023-01-03 17:00:00,2,cluster_2,1225,2023-01
2023-01-03 18:00:00,0,cluster_0,3451,2023-01
2023-01-03 18:00:00,1,cluster_1,1410,2023-01
2023-01-03 18:00:00,2,cluster_2,1739,2023-01
2023-01-03 19:00:00,0,cluster_0,2088,2023-01
2023-01-03 19:00:00,1,cluster_1,910,2023-01
2023-01-03 19:00:00,2,cluster_2,1156,2023-01
2023-01-03 20:00:00,0,cluster_0,1541,2023-01
2023-01-03 20:00:00,1,cluster_1,684,2023-01
2023-01-03 20:00:00,2,cluster_2,879,2023-01
2023-01-03 21:00:00,0,cluster_0,1382,2023-01
2023-01-03 21:00:00,1,cluster_1,668,2023-01
2023-01-03 21:00:00,2,cluster_2,696,2023-01
2023-01-03 22:00:00,0,cluster_0,1109,2023-01
2023-01-03 22:00:00,1,cluster_1,612,2023-01
2023-01-03 22:00:00,2,cluster_2,632,2023-01
2023-01-03 23:00:00,0,cluster_0,633,2023-01
2023-01-03 23:00:00,1,cluster_1,413,2023-01
2023-01-03 23:00:00,2,cluster_2,353,2023-01
2023-01-04 00:00:00,0,cluster_0,554,2023-01
2023-01-04 00:00:00,1,cluster_1,353,2023-01
2023-01-04 00:00:00,2,cluster_2,330,2023-01
2023-01-04 01:00:00,0,cluster_0,334,2023-01
2023-01-04 01:00:00,1,cluster_1,283,2023-01
2023-01-04 01:00:00,2,cluster_2,276,2023-01
2023-01-04 02:00:00,0,cluster_0,249,2023-01
2023-01-04 02:00:00,1,cluster_1,177,2023-01
2023-01-04 02:00:00,2,cluster_2,152,2023-01
