model,configuration,training_period,test_period
SARIMA,"order=(1, 0, 1), seasonal_order=(1, 1, 0, 24)",2023-01-01 ~ 2024-09-30,2024-10-01 ~ 2024-12-31
LightGBM,"best_iteration=921, features=11",2023-01-01 ~ 2024-09-30,2024-10-01 ~ 2024-12-31
